::::INDIVARIA::::
DRUG CONCENTRATION
DATE	CONCENTRATION
1	0.231924
2	0.229524
3	0.227148
4	0.224797
5	0.222471
6	0.220168
7	0.217889
8	0.215634
9	0.213402
10	0.211194
11	0.209008
12	0.206845
13	0.204704
14	0.202585
15	0.200488
16	0.198413
17	0.196360
18	0.194327
19	0.192316
20	0.190325
21	0.188356
22	0.186406
23	0.184477
24	0.182567
25	0.180678
26	0.178808
27	0.176957
28	0.175126
29	0.173313
30	0.171519
31	0.169744
32	0.167987
33	0.166249
34	0.164528
35	0.162825
36	0.161140
37	0.159472
38	0.157821
39	0.156188
40	0.154571
41	0.152972
42	0.151388
43	0.149821
44	0.148271
45	0.146736
46	0.145217
47	0.143714
48	0.142227
49	0.140755
50	0.139298
