no,initN,PMR,Mu,Sigma,LC,rKZb,rKZe,tKZb,tKZe,sKZb,sKZe,everyH,Ndrug,GammaR,GammaT,GammaS,ec50R,ec50T,ec50S,eminR,eminT,eminS,emaxR,emaxT,emaxS,1/alpha,rmsd,riR,riT,riS
7,4.2582371986552704e11,12,9,7,48,6,25,26,38,39,44,24,7,5.00053,7.82632,7.82632,60.1398,2.84103,2.84103,0.,0.,0.,99.885,99.99,99.99,4.5601,0.969351,0.54906,0.0165553,0.0165553,
10,2.3798801208429752e11,10,7,3,48,6,20,21,38,39,44,24,7,3.58296,2.23343,7.32752,78.9831,1.68246,57.1274,0.,0.,0.,99.0872,99.9976,99.9731,5.52543,0.887115,1.22925,0.0416244,0.430894,
12,5.8315011980227745e10,6,9,4,48,6,20,21,38,39,44,24,7,5.90412,1.60574,7.28927,35.2818,26.2856,10.5178,0.,0.,0.,99.9607,99.9845,58.2045,4.32448,0.94011,0.258523,0.708018,0.107205,
16,6.828703227163286e11,9,11,4,48,6,20,21,38,39,44,24,7,6.7402,6.7402,6.7402,98.2039,98.2039,98.2039,0.,0.,0.,99.9964,99.9964,99.9964,4.32163,0.854076,0.629678,0.629678,0.629678,
22,1.0030426419343864e11,8,4,7,48,6,22,23,38,39,44,24,7,4.66749,5.13921,5.13921,48.6382,1.49583,1.49583,0.,0.,0.,74.0883,99.9514,99.9514,8.49246,0.660595,1.19448,0.0247304,0.0247304,
23,1.4406246000054558e12,12,4,7,48,6,28,29,38,39,44,24,7,5.68643,5.68643,5.68643,1.3339,1.3339,1.3339,0.,0.,0.,79.1816,79.1816,79.1816,1.86645,0.525092,0.00552935,0.00552935,0.00552935,
25,1.4276783115046914e12,10,6,4,48,6,26,27,38,39,44,24,7,6.93646,3.94069,3.94069,62.4533,22.3563,22.3563,0.,0.,0.,99.9727,99.9135,99.9135,3.76973,0.878898,0.339505,0.214049,0.214049,
26,2.2778682068550937e11,9,6,6,48,6,21,22,38,39,44,24,7,5.70973,5.70973,5.70973,37.6608,37.6608,37.6608,0.,0.,0.,99.8629,99.8629,99.8629,4.72683,0.761129,0.312205,0.312205,0.312205,
28,5.200272102059592e11,8,8,3,48,6,28,29,38,39,44,24,7,2.67884,7.47002,7.47002,32.3503,20.3041,20.3041,0.,0.,0.,99.9053,99.4925,99.4925,5.62519,0.838177,0.679956,0.153677,0.153677,
31,1.6736884168988278e11,6,4,8,48,6,26,27,38,39,44,24,7,8.33979,2.4636,2.4636,13.944,5.2006,5.2006,0.,0.,0.,99.8913,99.99,99.99,6.44187,0.440897,0.107824,0.136,0.136,
39,1.297907827674948e11,9,5,6,48,6,25,26,38,39,44,24,7,5.58412,5.15202,2.94515,79.0991,3.58807,8.0135,0.,0.,0.,99.9961,99.9669,99.9623,4.08057,0.760312,0.578036,0.0284281,0.111071,
46,1.9180018261203094e11,6,12,3,48,6,20,21,38,39,44,24,7,8.44956,7.76266,7.68141,79.2554,96.3583,24.7036,0.,0.,0.,99.2063,99.969,99.3956,5.2662,0.892873,0.497912,0.653899,0.170392,
49,1.5623233873751624e12,8,9,8,48,6,25,26,38,39,44,24,7,8.44721,8.44721,8.44721,20.7101,20.7101,20.7101,0.,0.,0.,99.9563,99.9563,99.9563,2.62143,0.984853,0.0642979,0.0642979,0.0642979,
